851,343
1151,329
1021,331
1928,391
742,342
1351,351
1554,343
1731,361
2051,364
623,347
1227,350
1654,359
702,362
2010,374
1512,346
1655,392
2153,369
1858,375
819,354
858,387
1155,344
2024,350
855,344
1759,358
1547,367
1127,339
626,358
1034,357
1149,344
1025,340
1935,369
737,351
1712,359
1552,339
1659,361
2054,388
620,347
1114,330
1654,366
704,342
1953,378
1459,369
1658,387
2129,369
1921,392
705,364
854,336
1156,347
2024,359
850,345
1806,347
1551,357
1127,345
627,337
1029,354
1146,339
1025,341
2133,349
744,347
1351,356
1625,351
1837,359
2115,354
621,342
1111,348
1758,382
701,353
2016,364
1459,359
1656,367
2211,373
2004,377
655,363
857,355
1157,348
2020,357
855,353
1803,371
1554,359
1140,356
628,361
854,385
1153,326
1925,338
742,359
1350,350
1541,370
1703,390
2053,348
621,359
1656,406
703,366
1947,355
1454,367
1651,392
1913,377
859,344
1154,345
839,364
1806,355
1552,361
1129,347
627,381
856,357
1153,342
1025,337
1926,362
746,346
1352,380
1605,365
1746,345
2054,348
623,359
1106,349
1655,366
700,356
1951,354
1500,378
1655,367
1903,354
854,360
1152,348
855,352
1810,338
1608,365
1126,349
853,371
1149,340
1016,355
1926,350
745,377
1354,363
1556,364
1703,379
2052,350
627,366
1115,361
1658,361
655,379
2221,374
1459,363
1659,399
2113,369
1900,397
900,372
1157,360
2017,345
847,360
1755,367
1554,375
1128,351
628,348
902,369
1205,352
1025,342
1921,373
739,354
1347,373
1658,377
2050,368
622,355
1118,344
1655,374
657,356
1957,393
1657,388
1901,375
1459,377
703,359
1242,367
1158,372
2025,380
852,359
1812,375
1552,365
1127,350
627,342
855,359
1149,339
1024,333
1929,356
741,360
1357,366
1602,369
1703,384
2050,383
617,362
1109,348
1650,387
701,349
1949,380
1706,376
2056,383
1855,385
1548,362
655,363
857,360
1156,352
2047,368
848,361
1816,363
1549,366
1127,366
628,362
849,370
1148,340
1022,337
1926,374
735,359
1354,368
1549,373
1658,366
2051,381
624,356
1055,357
1649,383
703,371
2009,385
1655,401
2052,363
1909,399
1500,385
657,378
859,373
1201,348
2048,353
850,384
1800,381
1548,384
1125,356
625,362
849,363
1149,343
1019,361
1927,357
742,355
1423,392
1550,372
1705,375
2056,343
618,351
1054,352
1654,400
701,359
1952,367
1655,385
2101,363
1856,361
1458,379
655,368
857,347
1208,363
2022,346
849,365
1801,355
1551,373
1123,361
630,359
856,361
1149,341
1923,359
744,348
1352,379
1547,362
1659,360
2052,361
621,358
1649,360
704,353
1949,369
1737,378
1858,366
1458,384
900,354
1152,362
849,344
1815,352
1547,371
1128,360
624,362
857,383
1144,346
1020,344
2126,401
742,358
1350,358
1548,395
1813,390
2120,404
620,359
1056,364
1845,386
740,343
2136,416
1657,497
2311,427
1920,434
1501,398
900,372
1156,346
2108,368
857,369
1949,370
1634,357
1124,361
638,356
1028,350
1156,343
1025,331
1927,380
738,350
1425,375
1612,404
1700,391
2117,367
622,355
1058,356
1649,408
659,357
1951,406
1701,400
2134,363
1902,424
1500,390
658,368
858,367
1159,353
2159,371
855,365
1800,359
1549,378
1127,357
641,347
852,378
1149,361
1024,361
1926,339
747,363
1411,370
1557,368
1655,394
2054,390
620,373
1057,374
1651,385
657,377
1946,359
1659,386
2059,368
1916,400
1456,362
658,366
856,380
1156,396
2022,355
852,375
1801,360
1556,373
1131,370
635,364
859,393
1154,346
1027,357
1929,384
736,354
1346,383
1547,380
1700,394
2051,349
618,375
1050,375
1710,379
702,365
1951,359
1720,383
2210,373
1901,376
1500,396
656,378
858,378
1156,370
2023,353
849,360
1802,360
1550,384
1129,386
625,347
853,382
1151,355
1023,380
2146,378
742,358
1353,377
1549,364
1659,463
2315,376
623,368
1056,359
1651,388
726,357
2141,414
1713,403
2120,389
1925,405
1506,385
657,362
855,379
1157,364
2103,368
853,380
1853,406
1548,398
1127,355
626,373
902,356
1234,343
1029,352
1923,353
742,357
1353,352
1621,352
1702,367
2046,348
627,337
1133,339
1652,351
701,346
1949,370
1704,346
2057,364
1856,396
1516,358
658,372
856,359
1203,338
2024,357
856,351
1806,358
1553,348
1125,350
629,363
857,343
1149,320
1924,349
745,341
1351,358
1554,349
1650,343
2055,372
623,341
1719,335
704,336
1951,360
1659,341
1859,364
1500,350
903,345
1156,322
848,359
1811,355
1546,342
1125,343
630,357
856,366
1153,334
1023,358
1927,367
739,338
1356,369
1548,385
1711,377
2052,387
618,351
1128,327
1655,374
704,341
2108,371
1700,389
2122,367
1905,398
1457,339
900,355
1159,340
2022,372
855,368
1811,372
1556,366
1126,333
629,347
858,346
1149,335
1022,342
1926,384
742,342
1352,354
1550,355
1656,354
2050,376
621,343
1056,340
1652,363
712,350
1951,376
1657,365
2143,351
1919,368
1501,348
702,348
859,354
1158,345
2018,354
856,355
1801,354
1553,349
1126,344
624,345
858,365
1151,340
1021,341
1925,368
738,356
1350,361
1549,362
1658,345
2051,361
624,363
1056,360
1700,375
706,366
1950,392
1655,362
2107,354
1858,387
1501,355
655,370
855,346
1156,348
2039,363
850,362
1802,358
1629,352
1129,332
627,347
855,364
1151,347
1036,312
2304,415
741,351
1352,369
1700,462
2326,402
619,357
1059,346
700,353
2036,454
1728,471
2233,416
2251,378
1456,353
656,359
858,376
1234,347
2019,486
853,364
1904,345
1553,468
1127,350
626,358
853,354
